Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits
2020-10-16 00:00:00+05:30,295.9918,305.7283,295.9918,304.7547,8493804,BANDHANBNK,,
2020-10-19 00:00:00+05:30,309.9637,318.1424,307.4322,315.1728,9296797,BANDHANBNK,,
2020-10-20 00:00:00+05:30,311.5703,312.9821,304.4626,310.7426,6320079,BANDHANBNK,,
2020-10-21 00:00:00+05:30,313.3228,318.3372,303.2942,307.7243,10933236,BANDHANBNK,,
2020-10-22 00:00:00+05:30,304.0244,307.3835,299.2048,302.1258,8193207,BANDHANBNK,,
2020-10-23 00:00:00+05:30,304.7547,306.702,297.9391,299.643,6152238,BANDHANBNK,,
2020-10-26 00:00:00+05:30,300.86,301.4929,289.4196,291.2695,6562231,BANDHANBNK,,
2020-10-27 00:00:00+05:30,291.0261,291.0261,281.4842,288.3972,7970348,BANDHANBNK,,
2020-10-28 00:00:00+05:30,290.1498,291.4643,279.4396,281.3382,6382953,BANDHANBNK,,
2020-10-29 00:00:00+05:30,279.7317,286.6933,271.6503,285.5249,10359431,BANDHANBNK,,
2020-10-30 00:00:00+05:30,284.3079,287.1802,279.4396,281.825,7289875,BANDHANBNK,,
2020-11-02 00:00:00+05:30,286.2551,299.789,286.2551,292.9734,14730628,BANDHANBNK,,
2020-11-03 00:00:00+05:30,296.9654,306.6533,295.9918,300.1785,12152353,BANDHANBNK,,
2020-11-04 00:00:00+05:30,301.7363,305.1928,295.2615,304.3652,7644699,BANDHANBNK,,
2020-11-05 00:00:00+05:30,308.6493,313.3228,304.7546,312.5439,10684278,BANDHANBNK,,
2020-11-06 00:00:00+05:30,312.5439,323.741,310.5966,322.1831,13602403,BANDHANBNK,,
2020-11-09 00:00:00+05:30,324.8607,337.6643,324.8607,331.1408,18229289,BANDHANBNK,,
2020-11-10 00:00:00+05:30,335.9116,344.6746,326.3698,335.863,17711644,BANDHANBNK,,
2020-11-11 00:00:00+05:30,339.6115,342.5812,323.0594,330.2158,15316734,BANDHANBNK,,
2020-11-12 00:00:00+05:30,330.8486,330.8486,321.5502,328.8527,8583838,BANDHANBNK,,
2020-11-13 00:00:00+05:30,324.2278,336.8854,321.3068,335.1815,8240401,BANDHANBNK,,
2020-11-14 00:00:00+05:30,338.2972,339.6116,332.0171,334.4999,1108805,BANDHANBNK,,
2020-11-17 00:00:00+05:30,340.7799,345.5508,337.859,343.3601,11071629,BANDHANBNK,,
2020-11-18 00:00:00+05:30,343.6523,353.9243,339.1247,351.9283,15482082,BANDHANBNK,,
2020-11-19 00:00:00+05:30,347.4982,356.6506,341.9484,343.3115,13764095,BANDHANBNK,,
2020-11-20 00:00:00+05:30,343.3601,346.1837,330.0697,340.6826,12357869,BANDHANBNK,,
2020-11-23 00:00:00+05:30,348.5692,351.0521,342.7273,344.5772,11410317,BANDHANBNK,,
2020-11-24 00:00:00+05:30,347.5956,350.906,344.1878,349.2995,10498217,BANDHANBNK,,
2020-11-25 00:00:00+05:30,352.4638,365.0727,351.6362,358.4518,18893686,BANDHANBNK,,
2020-11-26 00:00:00+05:30,360.1557,360.2531,348.0824,356.894,9884907,BANDHANBNK,,
2020-11-27 00:00:00+05:30,358.6953,362.4925,352.5612,357.3322,10064518,BANDHANBNK,,
