Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits
2020-10-16 00:00:00+05:30,718.7451,728.9466,718.501,723.0161,847678,PIDILITIND,,
2020-10-19 00:00:00+05:30,725.3346,752.6688,723.016,749.7402,2985144,PIDILITIND,,
2020-10-20 00:00:00+05:30,752.6688,757.2326,741.7107,744.2977,2509288,PIDILITIND,,
2020-10-21 00:00:00+05:30,746.8602,752.1319,724.4071,730.6061,1857388,PIDILITIND,,
2020-10-22 00:00:00+05:30,731.1919,736.4879,717.9396,720.2094,1367244,PIDILITIND,,
2020-10-23 00:00:00+05:30,723.8702,734.6086,721.5028,732.3145,1164340,PIDILITIND,,
2020-10-26 00:00:00+05:30,735.0967,736.4146,714.6693,719.7944,822324,PIDILITIND,,
2020-10-27 00:00:00+05:30,717.5247,746.7626,717.5247,744.8589,2443802,PIDILITIND,,
2020-10-28 00:00:00+05:30,745.8353,754.6213,738.0255,741.247,1468514,PIDILITIND,,
2020-10-29 00:00:00+05:30,748.2757,780.9792,744.8834,776.513,9519036,PIDILITIND,,
2020-10-30 00:00:00+05:30,776.5131,777.0744,760.2101,766.5312,2465752,PIDILITIND,,
2020-11-02 00:00:00+05:30,771.217,780.7596,757.9159,759.7219,1410450,PIDILITIND,,
2020-11-03 00:00:00+05:30,759.0143,775.122,759.0143,764.1883,1313404,PIDILITIND,,
2020-11-04 00:00:00+05:30,766.3359,771.5587,755.6707,762.675,1406364,PIDILITIND,,
2020-11-05 00:00:00+05:30,781.4674,787.2515,768.1175,775.8053,5218614,PIDILITIND,,
2020-11-06 00:00:00+05:30,775.8297,790.7415,773.1939,779.3685,2391068,PIDILITIND,,
2020-11-09 00:00:00+05:30,782.9317,783.908,774.463,778.6608,1359864,PIDILITIND,,
2020-11-10 00:00:00+05:30,780.9793,783.249,766.3359,768.1419,1525700,PIDILITIND,,
2020-11-11 00:00:00+05:30,770.2408,778.3191,752.62,763.5293,2138080,PIDILITIND,,
2020-11-12 00:00:00+05:30,763.4073,772.1445,760.3566,767.0681,1221590,PIDILITIND,,
2020-11-13 00:00:00+05:30,766.3359,776.0737,762.5531,763.7489,1181884,PIDILITIND,,
2020-11-14 00:00:00+05:30,768.7765,775.2928,767.3366,771.6807,272046,PIDILITIND,,
2020-11-17 00:00:00+05:30,779.2465,779.7102,759.5756,762.3823,1883788,PIDILITIND,,
2020-11-18 00:00:00+05:30,765.2621,768.7765,758.3065,763.0656,1303930,PIDILITIND,,
2020-11-19 00:00:00+05:30,759.0142,774.1457,758.5017,760.6738,1829618,PIDILITIND,,
