Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits
2020-10-16 00:00:00+05:30,12.55,12.75,12.5,12.65,60457260,YESBANK,,
2020-10-19 00:00:00+05:30,12.85,13.05,12.8,12.9,52205071,YESBANK,,
2020-10-20 00:00:00+05:30,12.9,12.95,12.8,12.9,36303794,YESBANK,,
2020-10-21 00:00:00+05:30,13.0,13.15,12.65,12.95,76137706,YESBANK,,
2020-10-22 00:00:00+05:30,12.9,12.95,12.65,12.7,60841978,YESBANK,,
2020-10-23 00:00:00+05:30,12.7,13.3,12.65,13.3,73134340,YESBANK,,
2020-10-26 00:00:00+05:30,13.95,13.95,12.9,13.15,187495012,YESBANK,,
2020-10-27 00:00:00+05:30,13.05,13.1,12.7,12.85,96603556,YESBANK,,
2020-10-28 00:00:00+05:30,12.8,12.8,12.5,12.5,98681293,YESBANK,,
2020-10-29 00:00:00+05:30,12.3,12.45,12.15,12.4,58770634,YESBANK,,
2020-10-30 00:00:00+05:30,12.4,12.6,12.3,12.4,52710399,YESBANK,,
2020-11-02 00:00:00+05:30,12.45,12.5,12.2,12.25,49849401,YESBANK,,
2020-11-03 00:00:00+05:30,12.4,12.4,12.25,12.25,47277462,YESBANK,,
2020-11-04 00:00:00+05:30,12.3,12.4,12.2,12.25,45799739,YESBANK,,
2020-11-05 00:00:00+05:30,12.25,12.4,12.25,12.3,32619961,YESBANK,,
2020-11-06 00:00:00+05:30,12.3,12.35,12.2,12.3,83956341,YESBANK,,
2020-11-09 00:00:00+05:30,12.35,12.9,12.25,12.9,128615608,YESBANK,,
2020-11-10 00:00:00+05:30,13.5,13.5,13.5,13.5,80270780,YESBANK,,
2020-11-11 00:00:00+05:30,14.15,14.15,14.15,14.15,54007188,YESBANK,,
2020-11-12 00:00:00+05:30,14.7,14.7,13.6,14.35,480646515,YESBANK,,
2020-11-13 00:00:00+05:30,14.25,14.85,13.95,14.55,232152650,YESBANK,,
2020-11-14 00:00:00+05:30,14.8,14.9,14.5,14.55,66249326,YESBANK,,
2020-11-17 00:00:00+05:30,14.65,14.7,14.4,14.65,192776749,YESBANK,,
2020-11-18 00:00:00+05:30,14.65,14.85,14.45,14.7,207060545,YESBANK,,
2020-11-19 00:00:00+05:30,14.55,14.7,14.05,14.25,200887914,YESBANK,,
2020-11-20 00:00:00+05:30,14.3,14.65,14.1,14.55,183959497,YESBANK,,
2020-11-23 00:00:00+05:30,14.65,14.9,14.25,14.55,305463387,YESBANK,,
2020-11-24 00:00:00+05:30,14.6,14.75,14.5,14.7,173079102,YESBANK,,
2020-11-25 00:00:00+05:30,14.75,14.75,14.05,14.15,157534267,YESBANK,,
2020-11-26 00:00:00+05:30,14.15,14.25,13.85,14.1,126306469,YESBANK,,
2020-11-27 00:00:00+05:30,14.2,14.8,14.05,14.7,21419226,YESBANK,,
2020-12-01 00:00:00+05:30,15.4,15.4,15.05,15.4,384256021,YESBANK,,
2020-12-02 00:00:00+05:30,15.7,15.9,14.85,15.45,311349886,YESBANK,,
2020-12-03 00:00:00+05:30,15.65,15.8,15.25,15.45,152445535,YESBANK,,
2020-12-04 00:00:00+05:30,15.6,15.6,15.05,15.35,149691622,YESBANK,,
2020-12-07 00:00:00+05:30,15.65,15.85,15.5,15.75,193242183,YESBANK,,
2020-12-08 00:00:00+05:30,16.0,17.3,16.0,17.3,562741066,YESBANK,,
2020-12-09 00:00:00+05:30,18.25,19.0,18.05,19.0,488175314,YESBANK,,
2020-12-10 00:00:00+05:30,20.0,20.75,19.15,20.45,662896680,YESBANK,,
2020-12-11 00:00:00+05:30,20.75,20.75,19.45,19.45,444459632,YESBANK,,
2020-12-14 00:00:00+05:30,19.4,19.45,18.5,18.5,136661650,YESBANK,,
2020-12-15 00:00:00+05:30,17.8,18.45,17.6,18.3,446734713,YESBANK,,
2020-12-16 00:00:00+05:30,18.7,19.2,18.4,18.85,250939029,YESBANK,,
2020-12-17 00:00:00+05:30,18.9,18.9,18.15,18.25,131495445,YESBANK,,
2020-12-18 00:00:00+05:30,18.15,19.1,17.55,18.9,283132487,YESBANK,,
2020-12-21 00:00:00+05:30,18.95,19.0,18.0,18.0,168955038,YESBANK,,
2020-12-22 00:00:00+05:30,17.4,17.6,17.1,17.3,284913909,YESBANK,,
2020-12-23 00:00:00+05:30,17.5,17.85,17.05,17.6,216066991,YESBANK,,
2020-12-24 00:00:00+05:30,17.9,18.0,17.3,17.55,124638448,YESBANK,,
2020-12-28 00:00:00+05:30,17.8,18.2,17.55,17.8,149082382,YESBANK,,
2020-12-29 00:00:00+05:30,17.85,18.0,17.6,17.75,103589664,YESBANK,,
2020-12-30 00:00:00+05:30,17.7,17.85,17.45,17.75,79131606,YESBANK,,
2020-12-31 00:00:00+05:30,17.75,18.15,17.65,17.85,125361787,YESBANK,,
2021-01-01 00:00:00+05:30,17.85,18.45,17.8,18.0,146080241,YESBANK,,
2021-01-04 00:00:00+05:30,18.4,18.6,17.9,18.0,214860840,YESBANK,,
2021-01-05 00:00:00+05:30,17.95,18.25,17.75,18.0,172429356,YESBANK,,
2021-01-06 00:00:00+05:30,18.2,18.4,17.8,18.0,196901365,YESBANK,,
2021-01-07 00:00:00+05:30,18.2,18.35,17.85,18.0,157589035,YESBANK,,
2021-01-08 00:00:00+05:30,18.2,18.3,17.8,18.05,183783931,YESBANK,,
2021-01-11 00:00:00+05:30,18.3,18.55,17.85,17.95,189373243,YESBANK,,
2021-01-12 00:00:00+05:30,17.85,18.5,17.6,18.05,320993651,YESBANK,,
2021-01-13 00:00:00+05:30,18.15,18.3,17.15,17.8,280118603,YESBANK,,
2021-01-14 00:00:00+05:30,17.85,18.1,17.6,17.85,141291865,YESBANK,,
2021-01-15 00:00:00+05:30,17.8,17.85,17.25,17.6,163516334,YESBANK,,
2021-01-18 00:00:00+05:30,18.1,18.1,17.45,17.7,210883697,YESBANK,,
2021-01-19 00:00:00+05:30,17.85,18.0,17.6,17.9,128056245,YESBANK,,
2021-01-20 00:00:00+05:30,17.95,18.0,17.4,17.65,196996362,YESBANK,,
2021-01-21 00:00:00+05:30,17.7,17.8,17.15,17.25,229436846,YESBANK,,
2021-01-22 00:00:00+05:30,17.35,17.5,16.75,17.0,220887609,YESBANK,,
2021-01-25 00:00:00+05:30,17.4,17.5,16.25,16.35,326357534,YESBANK,,
2021-01-27 00:00:00+05:30,16.2,16.2,15.7,15.75,224836150,YESBANK,,
2021-01-28 00:00:00+05:30,15.2,15.4,15.0,15.05,312839641,YESBANK,,
2021-01-29 00:00:00+05:30,15.1,15.8,15.0,15.75,183110147,YESBANK,,
2021-02-01 00:00:00+05:30,16.0,16.5,15.45,16.4,186599301,YESBANK,,
2021-02-02 00:00:00+05:30,16.55,16.85,16.1,16.55,180587323,YESBANK,,
2021-02-03 00:00:00+05:30,16.65,16.65,16.2,16.25,88995339,YESBANK,,
2021-02-04 00:00:00+05:30,16.25,16.55,16.05,16.2,129199434,YESBANK,,
2021-02-05 00:00:00+05:30,16.85,17.45,16.75,16.9,235552294,YESBANK,,
2021-02-08 00:00:00+05:30,17.15,17.3,16.9,17.05,132788785,YESBANK,,
2021-02-09 00:00:00+05:30,17.1,17.1,16.6,16.65,94882109,YESBANK,,
2021-02-10 00:00:00+05:30,16.65,16.7,16.3,16.4,80183508,YESBANK,,
2021-02-11 00:00:00+05:30,16.4,16.7,16.3,16.5,58079419,YESBANK,,
2021-02-12 00:00:00+05:30,16.5,16.55,16.35,16.4,47492701,YESBANK,,
